School,Legacy ID,sid
Governors State University,374,U2Nob29sLTM3NA==
Grace College and Theological Seminary,375,U2Nob29sLTM3NQ==
Grace University,376,U2Nob29sLTM3Ng==
Graceland University,377,U2Nob29sLTM3Nw==
Grand Canyon University,378,U2Nob29sLTM3OA==
Grand Valley State University,379,U2Nob29sLTM3OQ==
Green Mountain College,380,U2Nob29sLTM4MA==
Greensboro College,381,U2Nob29sLTM4MQ==
Greenville University,382,U2Nob29sLTM4Mg==
Grinnell College,383,U2Nob29sLTM4Mw==
Grove City College,384,U2Nob29sLTM4NA==
Guilford College,385,U2Nob29sLTM4NQ==
Gustavus Adolphus College,386,U2Nob29sLTM4Ng==
Gutenberg College,387,U2Nob29sLTM4Nw==
Gwynedd-Mercy University,388,U2Nob29sLTM4OA==
Hamilton College,389,U2Nob29sLTM4OQ==
Hamline University,390,U2Nob29sLTM5MA==
Hampden-Sydney College,391,U2Nob29sLTM5MQ==
Hampshire College,392,U2Nob29sLTM5Mg==
Hampton University,393,U2Nob29sLTM5Mw==
Hannibal-LaGrange University,394,U2Nob29sLTM5NA==
Hanover College,395,U2Nob29sLTM5NQ==
Harding University,396,U2Nob29sLTM5Ng==
Hardin-Simmons University,397,U2Nob29sLTM5Nw==
Hartwick College,398,U2Nob29sLTM5OA==
Harvard University,399,U2Nob29sLTM5OQ==
Harvey Mudd College,400,U2Nob29sLTQwMA==
Hastings College,401,U2Nob29sLTQwMQ==
Haverford College,402,U2Nob29sLTQwMg==
Hawaii Pacific University,403,U2Nob29sLTQwMw==
Hebrew College,404,U2Nob29sLTQwNA==
Heidelberg College,405,U2Nob29sLTQwNQ==
Henderson State University,406,U2Nob29sLTQwNg==
Hendrix College,407,U2Nob29sLTQwNw==
Heritage University,408,U2Nob29sLTQwOA==
High Point University,409,U2Nob29sLTQwOQ==
Hillsdale College,410,U2Nob29sLTQxMA==
Hiram College,411,U2Nob29sLTQxMQ==
Hobart and William Smith Colleges,412,U2Nob29sLTQxMg==
Hofstra University,413,U2Nob29sLTQxMw==
Hollins University,414,U2Nob29sLTQxNA==
Holy Names University,415,U2Nob29sLTQxNQ==
Hood College,416,U2Nob29sLTQxNg==
Hope College,417,U2Nob29sLTQxNw==
Houghton College,418,U2Nob29sLTQxOA==
Houston Christian University,419,U2Nob29sLTQxOQ==
Howard Payne University,420,U2Nob29sLTQyMA==
Howard University,421,U2Nob29sLTQyMQ==
Humboldt State University,422,U2Nob29sLTQyMg==
Huntingdon College,423,U2Nob29sLTQyMw==
Huntington University,424,U2Nob29sLTQyNA==
Huron University,425,U2Nob29sLTQyNQ==
Husson University,426,U2Nob29sLTQyNg==
Huston-Tillotson University,427,U2Nob29sLTQyNw==
Global University,428,U2Nob29sLTQyOA==
Idaho State University,429,U2Nob29sLTQyOQ==
Illinois College,430,U2Nob29sLTQzMA==
Illinois Institute of Technology,431,U2Nob29sLTQzMQ==
Illinois State University,432,U2Nob29sLTQzMg==
Illinois Wesleyan University,433,U2Nob29sLTQzMw==
Immaculata University,434,U2Nob29sLTQzNA==
Indiana Institute of Technology,435,U2Nob29sLTQzNQ==
Indiana State University,436,U2Nob29sLTQzNg==
Indiana University - Purdue University,438,U2Nob29sLTQzOA==
Indiana University at Kokomo,439,U2Nob29sLTQzOQ==
Indiana University Bloomington,440,U2Nob29sLTQ0MA==
Indiana University East,441,U2Nob29sLTQ0MQ==
Indiana University Northwest,442,U2Nob29sLTQ0Mg==
Indiana University of Pennsylvania,443,U2Nob29sLTQ0Mw==
Indiana University Southeast,444,U2Nob29sLTQ0NA==
Indiana University-Purdue University at Fort Wayne,445,U2Nob29sLTQ0NQ==
Indiana University-Purdue University Indianapolis,446,U2Nob29sLTQ0Ng==
Indiana Wesleyan University,447,U2Nob29sLTQ0Nw==
Institute for Christian Studies,448,U2Nob29sLTQ0OA==
Institute of Paper Science and Technology,449,U2Nob29sLTQ0OQ==
Institute of Transpersonal Psychology,450,U2Nob29sLTQ1MA==
Iona University,451,U2Nob29sLTQ1MQ==
Iowa State University,452,U2Nob29sLTQ1Mg==
Ithaca College,453,U2Nob29sLTQ1Mw==
Jackson State University,454,U2Nob29sLTQ1NA==
Jacksonville State University,455,U2Nob29sLTQ1NQ==
Jacksonville University,456,U2Nob29sLTQ1Ng==
James Madison University,457,U2Nob29sLTQ1Nw==
University of Jamestown,458,U2Nob29sLTQ1OA==
Jewish Theological Seminary- The,460,U2Nob29sLTQ2MA==
John Brown University,461,U2Nob29sLTQ2MQ==
John Carroll University,462,U2Nob29sLTQ2Mg==
John F. Kennedy University,463,U2Nob29sLTQ2Mw==
Johns Hopkins University,464,U2Nob29sLTQ2NA==
Johnson and Wales University,465,U2Nob29sLTQ2NQ==
Johnson and Wales University,466,U2Nob29sLTQ2Ng==
Johnson University,467,U2Nob29sLTQ2Nw==
Northern Vermont University,468,U2Nob29sLTQ2OA==
Jones College,469,U2Nob29sLTQ2OQ==
Judson College,470,U2Nob29sLTQ3MA==
Judson University,471,U2Nob29sLTQ3MQ==
Juilliard School,472,U2Nob29sLTQ3Mg==
Juniata College,473,U2Nob29sLTQ3Mw==
Kalamazoo College,474,U2Nob29sLTQ3NA==
Kansas Newman College,475,U2Nob29sLTQ3NQ==
Kansas State University,476,U2Nob29sLTQ3Ng==
Kansas Wesleyan University,477,U2Nob29sLTQ3Nw==
Kean University (all campuses),478,U2Nob29sLTQ3OA==
Keene State College,479,U2Nob29sLTQ3OQ==
Warren National University,480,U2Nob29sLTQ4MA==
Kennesaw State University,481,U2Nob29sLTQ4MQ==
Kent State University,482,U2Nob29sLTQ4Mg==
Kentucky Christian University,483,U2Nob29sLTQ4Mw==
Kentucky State University,484,U2Nob29sLTQ4NA==
Kentucky Wesleyan College,485,U2Nob29sLTQ4NQ==
Kenyon College,486,U2Nob29sLTQ4Ng==
King University,487,U2Nob29sLTQ4Nw==
King's College,488,U2Nob29sLTQ4OA==
Knox College,489,U2Nob29sLTQ4OQ==
Knoxville College,490,U2Nob29sLTQ5MA==
La Salle University,492,U2Nob29sLTQ5Mg==
La Sierra University,493,U2Nob29sLTQ5Mw==
Lafayette College,494,U2Nob29sLTQ5NA==
LaGrange College,495,U2Nob29sLTQ5NQ==
Lake Forest College,496,U2Nob29sLTQ5Ng==
Lake Superior State University,497,U2Nob29sLTQ5Nw==
Lakeland University,498,U2Nob29sLTQ5OA==
Lamar University,499,U2Nob29sLTQ5OQ==
Lambuth University,500,U2Nob29sLTUwMA==
Langston University,501,U2Nob29sLTUwMQ==
Lassen Community College,504,U2Nob29sLTUwNA==
Lawrence University,505,U2Nob29sLTUwNQ==
Le Moyne College,506,U2Nob29sLTUwNg==
Lebanon Valley College,507,U2Nob29sLTUwNw==
Lee University,508,U2Nob29sLTUwOA==
Lehigh University,509,U2Nob29sLTUwOQ==
LeMoyne-Owen College,510,U2Nob29sLTUxMA==
Lenoir-Rhyne University,511,U2Nob29sLTUxMQ==
Lesley University,512,U2Nob29sLTUxMg==
LeTourneau University,513,U2Nob29sLTUxMw==
Lewis & Clark College,514,U2Nob29sLTUxNA==
Lewis University,515,U2Nob29sLTUxNQ==
Lewis-Clark State College,516,U2Nob29sLTUxNg==
Liberty University,517,U2Nob29sLTUxNw==
Life University,518,U2Nob29sLTUxOA==
Limestone College,519,U2Nob29sLTUxOQ==
Lincoln Memorial University,520,U2Nob29sLTUyMA==
Lincoln University,521,U2Nob29sLTUyMQ==
Lincoln University,522,U2Nob29sLTUyMg==
Lindenwood University,523,U2Nob29sLTUyMw==
Linfield University,524,U2Nob29sLTUyNA==
Lock Haven University,525,U2Nob29sLTUyNQ==
Loma Linda University,526,U2Nob29sLTUyNg==
Long Island University,527,U2Nob29sLTUyNw==
Long Island University - Post,528,U2Nob29sLTUyOA==
Long Island University,529,U2Nob29sLTUyOQ==
Longwood University,530,U2Nob29sLTUzMA==
Loras College,531,U2Nob29sLTUzMQ==
Louisiana College,532,U2Nob29sLTUzMg==
Louisiana State University at Eunice,533,U2Nob29sLTUzMw==
Louisiana State University of Alexandria,535,U2Nob29sLTUzNQ==
Louisiana Tech University,536,U2Nob29sLTUzNg==
Loyola University Maryland,537,U2Nob29sLTUzNw==
Loyola Marymount University,538,U2Nob29sLTUzOA==
Loyola University New Orleans,539,U2Nob29sLTUzOQ==
Loyola University Chicago,540,U2Nob29sLTU0MA==
Lubbock Christian University,541,U2Nob29sLTU0MQ==
Luther College,542,U2Nob29sLTU0Mg==
Luther Seminary,543,U2Nob29sLTU0Mw==
Trinity Lutheran College,544,U2Nob29sLTU0NA==
Lycoming College,545,U2Nob29sLTU0NQ==
University of Lynchburg,546,U2Nob29sLTU0Ng==
Lyndon State College,547,U2Nob29sLTU0Nw==
Lynn University,548,U2Nob29sLTU0OA==
Lyon College,549,U2Nob29sLTU0OQ==
Macalester College,550,U2Nob29sLTU1MA==
MacMurray College,551,U2Nob29sLTU1MQ==
Madonna University,552,U2Nob29sLTU1Mg==
Maharishi International University (was Maharishi University of Management),553,U2Nob29sLTU1Mw==
Maine Maritime Academy,554,U2Nob29sLTU1NA==
Malone University,555,U2Nob29sLTU1NQ==
Manchester University,556,U2Nob29sLTU1Ng==
Manhattan College,557,U2Nob29sLTU1Nw==
